No,Kalimat,Judul,Penulis,Fakultas
7,Teknik sampling yang dilakukan dalam penelitian adalah metode purposive sampling.,"SKRIPSI PENGARUH STRUKTUR MODAL, PROFITABILITAS, DAN KEBIJAKAN DIVIDEN TERHADAP NILAI PERUSAHAAN
(STUDI KASUS PERUSAHAAN INDEKS LQ45 BURSA EFEK INDONESIA TAHUN 2017-2021)",LULUK ANNISA,PRODI_S1_MANAJEMENFAKULTAS_FE
8,Penelitian ini menggunakan data sekunder yang bersumber dari IDX atau website perusahaan.,"SKRIPSI PENGARUH STRUKTUR MODAL, PROFITABILITAS, DAN KEBIJAKAN DIVIDEN TERHADAP NILAI PERUSAHAAN
(STUDI KASUS PERUSAHAAN INDEKS LQ45 BURSA EFEK INDONESIA TAHUN 2017-2021)",LULUK ANNISA,PRODI_S1_MANAJEMENFAKULTAS_FE
9,"Teknik analisis yang digunakan adalah analisis regresi linier berganda mulai dari uji asumsi klasik, uji t dan uji F.","SKRIPSI PENGARUH STRUKTUR MODAL, PROFITABILITAS, DAN KEBIJAKAN DIVIDEN TERHADAP NILAI PERUSAHAAN
(STUDI KASUS PERUSAHAAN INDEKS LQ45 BURSA EFEK INDONESIA TAHUN 2017-2021)",LULUK ANNISA,PRODI_S1_MANAJEMENFAKULTAS_FE
10,Hasil penelitian uji t menunjukkan bahwa struktur modal dan kebijakan dividen memiliki pengaruh yang signifikan terhadap nilai perusahaan.,"SKRIPSI PENGARUH STRUKTUR MODAL, PROFITABILITAS, DAN KEBIJAKAN DIVIDEN TERHADAP NILAI PERUSAHAAN
(STUDI KASUS PERUSAHAAN INDEKS LQ45 BURSA EFEK INDONESIA TAHUN 2017-2021)",LULUK ANNISA,PRODI_S1_MANAJEMENFAKULTAS_FE
11,Sedangkan profitabilitas tidak memiliki pengaruh yang signifikan terhadap nilai perusahaan.,"SKRIPSI PENGARUH STRUKTUR MODAL, PROFITABILITAS, DAN KEBIJAKAN DIVIDEN TERHADAP NILAI PERUSAHAAN
(STUDI KASUS PERUSAHAAN INDEKS LQ45 BURSA EFEK INDONESIA TAHUN 2017-2021)",LULUK ANNISA,PRODI_S1_MANAJEMENFAKULTAS_FE
12,"Kata Kunci : nilai perusahaan, struktur modal, profitabilitas, kebijakan dividen","SKRIPSI PENGARUH STRUKTUR MODAL, PROFITABILITAS, DAN KEBIJAKAN DIVIDEN TERHADAP NILAI PERUSAHAAN
(STUDI KASUS PERUSAHAAN INDEKS LQ45 BURSA EFEK INDONESIA TAHUN 2017-2021)",LULUK ANNISA,PRODI_S1_MANAJEMENFAKULTAS_FE
1,ABSTRAK Perusahaan dapat memanfaatkan sumber daya dengan efektif dan efisien dengan menggunakan intellectual capital untuk memperoleh nilai tambah yang menciptakan keunggulan kompetitif bagi perusahaan.,"SKRIPSI INTELLECTUAL CAPITAL, KINERJA KEUANGAN, NILAI PASAR, DAN KEUNGGULAN KOMPETITIF SEBAGAI VARIABEL MEDIASI",NAURA HASNA NAFIA,PRODI_S1_MANAJEMENFAKULTAS_FE
2,Hal ini penting karena keunggulan kompetitif merupakan inti dari kinerja perusahaan.,"SKRIPSI INTELLECTUAL CAPITAL, KINERJA KEUANGAN, NILAI PASAR, DAN KEUNGGULAN KOMPETITIF SEBAGAI VARIABEL MEDIASI",NAURA HASNA NAFIA,PRODI_S1_MANAJEMENFAKULTAS_FE
3,"Ketika perusahaan telah memaksimalkan intellectual capital, seharusnya berdampak pada peningkatan kinerja keuangan yang pada gilirannya akan meningkatkan nilai pasar.","SKRIPSI INTELLECTUAL CAPITAL, KINERJA KEUANGAN, NILAI PASAR, DAN KEUNGGULAN KOMPETITIF SEBAGAI VARIABEL MEDIASI",NAURA HASNA NAFIA,PRODI_S1_MANAJEMENFAKULTAS_FE
4,Penelitian ini bertujuan untuk menguji bukti empiris pengaruh intellectual capital terhadap kinerja keuangan dan nilai pasar perusahaan serta untuk mengetahui apakah keunggulan kompetitif mampu memediasi pengaruh intellectual capital terhadap kinerja keuangan dan nilai pasar perusahaan.,"SKRIPSI INTELLECTUAL CAPITAL, KINERJA KEUANGAN, NILAI PASAR, DAN KEUNGGULAN KOMPETITIF SEBAGAI VARIABEL MEDIASI",NAURA HASNA NAFIA,PRODI_S1_MANAJEMENFAKULTAS_FE
5,Penelitian ini merupakan penelitian kuantitatif yang dilakukan pada perusahaan sektor properti dan real estate yang terdaftar di Bursa Efek Indonesia tahun 2010-2021.,"SKRIPSI INTELLECTUAL CAPITAL, KINERJA KEUANGAN, NILAI PASAR, DAN KEUNGGULAN KOMPETITIF SEBAGAI VARIABEL MEDIASI",NAURA HASNA NAFIA,PRODI_S1_MANAJEMENFAKULTAS_FE
6,Data yang digunakan dalam penelitian ini adalah data sekunder.,"SKRIPSI INTELLECTUAL CAPITAL, KINERJA KEUANGAN, NILAI PASAR, DAN KEUNGGULAN KOMPETITIF SEBAGAI VARIABEL MEDIASI",NAURA HASNA NAFIA,PRODI_S1_MANAJEMENFAKULTAS_FE
7,"Teknik purposive sampling digunakan untuk memilih 34 perusahaan sebagai sampel, sehingga diperoleh 408 data yang akan diamati.","SKRIPSI INTELLECTUAL CAPITAL, KINERJA KEUANGAN, NILAI PASAR, DAN KEUNGGULAN KOMPETITIF SEBAGAI VARIABEL MEDIASI",NAURA HASNA NAFIA,PRODI_S1_MANAJEMENFAKULTAS_FE
8,Hasil penelitian menunjukkan bahwa intellectual capital berpengaruh signifikan terhadap kinerja keuangan pada perusahaan properti dan real estate yang terdaftar di Bursa Efek Indonesia tahun 2010-2021.,"SKRIPSI INTELLECTUAL CAPITAL, KINERJA KEUANGAN, NILAI PASAR, DAN KEUNGGULAN KOMPETITIF SEBAGAI VARIABEL MEDIASI",NAURA HASNA NAFIA,PRODI_S1_MANAJEMENFAKULTAS_FE
9,"Sementara itu, intellectual capital tidak memiliki nilai yang signifikan terhadap nilai pasar perusahaan properti dan real estate yang terdaftar di Bursa Efek Indonesia tahun 2010-2021.","SKRIPSI INTELLECTUAL CAPITAL, KINERJA KEUANGAN, NILAI PASAR, DAN KEUNGGULAN KOMPETITIF SEBAGAI VARIABEL MEDIASI",NAURA HASNA NAFIA,PRODI_S1_MANAJEMENFAKULTAS_FE
10,Temuan lain menunjukkan bahwa keunggulan kompetitif mampu memediasi pengaruh intellectual capital terhadap kinerja keuangan dan nilai pasar pada perusahaan properti dan real estate yang terdaftar di Bursa Efek Indonesia tahun 2010-2021.,"SKRIPSI INTELLECTUAL CAPITAL, KINERJA KEUANGAN, NILAI PASAR, DAN KEUNGGULAN KOMPETITIF SEBAGAI VARIABEL MEDIASI",NAURA HASNA NAFIA,PRODI_S1_MANAJEMENFAKULTAS_FE
11,"Kata Kunci: Intellectual Capital, Kinerja Keuangan, Nilai Pasar, dan Keunggulan Kompetitif","SKRIPSI INTELLECTUAL CAPITAL, KINERJA KEUANGAN, NILAI PASAR, DAN KEUNGGULAN KOMPETITIF SEBAGAI VARIABEL MEDIASI",NAURA HASNA NAFIA,PRODI_S1_MANAJEMENFAKULTAS_FE
1,ABSTRAK Impulse buying merupakan pembelian dengan spontan tanpa ada rencana sebelumnya.,"SKRIPSI THE EFFECT OF PROMOTION, VIRAL MARKETING AND HEDONIC SHOPPING MOTIVATE ON IMPULSE BUYING IN LIVE SHOPPING FEATURES TIKTOK",DEWI FITRIANI,PRODI_S1_MANAJEMENFAKULTAS_FE
2,"Dalam pengambilan keputusan pembelian, konsumen akan dihadapkan dalam berbagai pilihan.","SKRIPSI THE EFFECT OF PROMOTION, VIRAL MARKETING AND HEDONIC SHOPPING MOTIVATE ON IMPULSE BUYING IN LIVE SHOPPING FEATURES TIKTOK",DEWI FITRIANI,PRODI_S1_MANAJEMENFAKULTAS_FE
3,"Namun melalui fitur live shopping pada Tiktok, dengan durasi yang singkat konsumen didorong untuk melakukan impulse buying.","SKRIPSI THE EFFECT OF PROMOTION, VIRAL MARKETING AND HEDONIC SHOPPING MOTIVATE ON IMPULSE BUYING IN LIVE SHOPPING FEATURES TIKTOK",DEWI FITRIANI,PRODI_S1_MANAJEMENFAKULTAS_FE
4,"Maka dengan itu, penelitian ini bertujuan untuk mengetahui pengaruh promosi, viral marketing dan hedonic shopping motivate terhadap impulse buying (studi kasus Mahasiswa Universitas Tidar).","SKRIPSI THE EFFECT OF PROMOTION, VIRAL MARKETING AND HEDONIC SHOPPING MOTIVATE ON IMPULSE BUYING IN LIVE SHOPPING FEATURES TIKTOK",DEWI FITRIANI,PRODI_S1_MANAJEMENFAKULTAS_FE
5,Penelitian ini merupakan penelitian kuantitatif.,"SKRIPSI THE EFFECT OF PROMOTION, VIRAL MARKETING AND HEDONIC SHOPPING MOTIVATE ON IMPULSE BUYING IN LIVE SHOPPING FEATURES TIKTOK",DEWI FITRIANI,PRODI_S1_MANAJEMENFAKULTAS_FE
6,Pengumpulan data yang digunakan dalam penelitian ini digunakan melalui survei secara online kepada 210 responden penelitian dengan menggunakan metode probability sampling dan teknik cluster sampling.,"SKRIPSI THE EFFECT OF PROMOTION, VIRAL MARKETING AND HEDONIC SHOPPING MOTIVATE ON IMPULSE BUYING IN LIVE SHOPPING FEATURES TIKTOK",DEWI FITRIANI,PRODI_S1_MANAJEMENFAKULTAS_FE
7,Analisis data menggunakan Uji Asumsi Klasik dan Uji Regresi Linier Berganda dengan bantuan alat olah data SPSS versi 25.,"SKRIPSI THE EFFECT OF PROMOTION, VIRAL MARKETING AND HEDONIC SHOPPING MOTIVATE ON IMPULSE BUYING IN LIVE SHOPPING FEATURES TIKTOK",DEWI FITRIANI,PRODI_S1_MANAJEMENFAKULTAS_FE
8,Hasil penelitian menunjukan bahwa variabel promosi tidak berpengaruh dan tidak signifikan terhadap impulse buying.,"SKRIPSI THE EFFECT OF PROMOTION, VIRAL MARKETING AND HEDONIC SHOPPING MOTIVATE ON IMPULSE BUYING IN LIVE SHOPPING FEATURES TIKTOK",DEWI FITRIANI,PRODI_S1_MANAJEMENFAKULTAS_FE
9,Variabel viral marketing tidak berpengaruh dan tidak signifikan terhadap impulse buying.,"SKRIPSI THE EFFECT OF PROMOTION, VIRAL MARKETING AND HEDONIC SHOPPING MOTIVATE ON IMPULSE BUYING IN LIVE SHOPPING FEATURES TIKTOK",DEWI FITRIANI,PRODI_S1_MANAJEMENFAKULTAS_FE
10,Sedangkan variabel hedonic shopping motivate berpengaruh signifikan terhadap impulse buying.,"SKRIPSI THE EFFECT OF PROMOTION, VIRAL MARKETING AND HEDONIC SHOPPING MOTIVATE ON IMPULSE BUYING IN LIVE SHOPPING FEATURES TIKTOK",DEWI FITRIANI,PRODI_S1_MANAJEMENFAKULTAS_FE
11,"Hasil uji F menunjukkan hasil bahwa variabel promosi, viral marketing dan hedonic shopping motivate secara simultan berpengaruh positif dan signifikan terhadap variabel impulse buying pada pembelian di live shopping Tiktok.","SKRIPSI THE EFFECT OF PROMOTION, VIRAL MARKETING AND HEDONIC SHOPPING MOTIVATE ON IMPULSE BUYING IN LIVE SHOPPING FEATURES TIKTOK",DEWI FITRIANI,PRODI_S1_MANAJEMENFAKULTAS_FE
12,"Kata Kunci: Promosi, Viral Marketing, Hedonic Shopping Motivate, Impulse Buying","SKRIPSI THE EFFECT OF PROMOTION, VIRAL MARKETING AND HEDONIC SHOPPING MOTIVATE ON IMPULSE BUYING IN LIVE SHOPPING FEATURES TIKTOK",DEWI FITRIANI,PRODI_S1_MANAJEMENFAKULTAS_FE
1,Abstrak Perkembangan teknologi yang semakin berkembang memicu masyarakat untuk melakukan kegiatan secara online seperti halnya berbelanja untuk memenuhi kebutuhan hidup.,"SKRIPSI PENGARUH ONLINE CUSTOMER REVIEW, ONLINE CUSTOMER RATING, KUALITAS PRODUK DAN PROMOSI PENJUALAN TERHADAP MINAT BELI DI E-COMMERCE TOKOPEDIA
(Studi Kasus Pada Mahasiswa Universitas Tidar)",HUSNUL HOTIMAH,PRODI_S1_MANAJEMENFAKULTAS_FE
2,Salah satu hasil dari adanya perkembangan teknologi adalah internet yang bisa digunakan untuk berbelanja secara online.,"SKRIPSI PENGARUH ONLINE CUSTOMER REVIEW, ONLINE CUSTOMER RATING, KUALITAS PRODUK DAN PROMOSI PENJUALAN TERHADAP MINAT BELI DI E-COMMERCE TOKOPEDIA
(Studi Kasus Pada Mahasiswa Universitas Tidar)",HUSNUL HOTIMAH,PRODI_S1_MANAJEMENFAKULTAS_FE
3,"Berdasarkan fenomena diatas, maka saat ini banyak muncul e-commerce yang menjadikan persaingan bisnis dalam bidang ini menjadi ketat.","SKRIPSI PENGARUH ONLINE CUSTOMER REVIEW, ONLINE CUSTOMER RATING, KUALITAS PRODUK DAN PROMOSI PENJUALAN TERHADAP MINAT BELI DI E-COMMERCE TOKOPEDIA
(Studi Kasus Pada Mahasiswa Universitas Tidar)",HUSNUL HOTIMAH,PRODI_S1_MANAJEMENFAKULTAS_FE
4,Setiap e-commerce menerapkan berbagai macam strategi supaya konsumen tertarik untuk berbelanja.,"SKRIPSI PENGARUH ONLINE CUSTOMER REVIEW, ONLINE CUSTOMER RATING, KUALITAS PRODUK DAN PROMOSI PENJUALAN TERHADAP MINAT BELI DI E-COMMERCE TOKOPEDIA
(Studi Kasus Pada Mahasiswa Universitas Tidar)",HUSNUL HOTIMAH,PRODI_S1_MANAJEMENFAKULTAS_FE
5,Faktor yang dapat mempengaruhi minat beli konsumen menjadi hal menarik untuk dilakukan penelitian.,"SKRIPSI PENGARUH ONLINE CUSTOMER REVIEW, ONLINE CUSTOMER RATING, KUALITAS PRODUK DAN PROMOSI PENJUALAN TERHADAP MINAT BELI DI E-COMMERCE TOKOPEDIA
(Studi Kasus Pada Mahasiswa Universitas Tidar)",HUSNUL HOTIMAH,PRODI_S1_MANAJEMENFAKULTAS_FE
6,"Tujuan penelitian ini yaitu untuk mengetahui pengaruh dari online customer review, online customer rating, kualitas produk dan promosi penjualan terhadap minat beli pada e-commerce Tokopedia.","SKRIPSI PENGARUH ONLINE CUSTOMER REVIEW, ONLINE CUSTOMER RATING, KUALITAS PRODUK DAN PROMOSI PENJUALAN TERHADAP MINAT BELI DI E-COMMERCE TOKOPEDIA
(Studi Kasus Pada Mahasiswa Universitas Tidar)",HUSNUL HOTIMAH,PRODI_S1_MANAJEMENFAKULTAS_FE
7,Dalam penelitian ini penulis memilih mahasiswa Universitas Tidar untuk dijadikan sebagai objek yang akan diteliti.,"SKRIPSI PENGARUH ONLINE CUSTOMER REVIEW, ONLINE CUSTOMER RATING, KUALITAS PRODUK DAN PROMOSI PENJUALAN TERHADAP MINAT BELI DI E-COMMERCE TOKOPEDIA
(Studi Kasus Pada Mahasiswa Universitas Tidar)",HUSNUL HOTIMAH,PRODI_S1_MANAJEMENFAKULTAS_FE
8,"Teknik pengambilan sampel yang digunakan dalam penelitian ini yaitu Teknik purposive sampling, dengan kriteria responden sudah pernah berbelanja di e-commerce Tokopedia minimal satu kali, sehingga didapat jumlah sampel yang digunakan yaitu sebanyak 150 sampel responden.","SKRIPSI PENGARUH ONLINE CUSTOMER REVIEW, ONLINE CUSTOMER RATING, KUALITAS PRODUK DAN PROMOSI PENJUALAN TERHADAP MINAT BELI DI E-COMMERCE TOKOPEDIA
(Studi Kasus Pada Mahasiswa Universitas Tidar)",HUSNUL HOTIMAH,PRODI_S1_MANAJEMENFAKULTAS_FE
9,Pada penelitian ini pengujian hipotesis dilakukan menggunakan uji analisis regresi linier berganda.,"SKRIPSI PENGARUH ONLINE CUSTOMER REVIEW, ONLINE CUSTOMER RATING, KUALITAS PRODUK DAN PROMOSI PENJUALAN TERHADAP MINAT BELI DI E-COMMERCE TOKOPEDIA
(Studi Kasus Pada Mahasiswa Universitas Tidar)",HUSNUL HOTIMAH,PRODI_S1_MANAJEMENFAKULTAS_FE
10,Hasil pada penelitian ini menunjukkan bahwa secara parsial kualitas produk dan promosi penjualan berpengaruh terhadap minat beli pada e-commerce Tokopedia.,"SKRIPSI PENGARUH ONLINE CUSTOMER REVIEW, ONLINE CUSTOMER RATING, KUALITAS PRODUK DAN PROMOSI PENJUALAN TERHADAP MINAT BELI DI E-COMMERCE TOKOPEDIA
(Studi Kasus Pada Mahasiswa Universitas Tidar)",HUSNUL HOTIMAH,PRODI_S1_MANAJEMENFAKULTAS_FE
11,Sedangkan online customer review dan online customer rating tidak berpengaruh terhadap minat beli di e-commerce Tokopedia.,"SKRIPSI PENGARUH ONLINE CUSTOMER REVIEW, ONLINE CUSTOMER RATING, KUALITAS PRODUK DAN PROMOSI PENJUALAN TERHADAP MINAT BELI DI E-COMMERCE TOKOPEDIA
(Studi Kasus Pada Mahasiswa Universitas Tidar)",HUSNUL HOTIMAH,PRODI_S1_MANAJEMENFAKULTAS_FE
12,"Kata Kunci : Online Customer Review, Online Customer Rating, Kualitas Produk, Promosi Penjualan, dan Minat Beli","SKRIPSI PENGARUH ONLINE CUSTOMER REVIEW, ONLINE CUSTOMER RATING, KUALITAS PRODUK DAN PROMOSI PENJUALAN TERHADAP MINAT BELI DI E-COMMERCE TOKOPEDIA
(Studi Kasus Pada Mahasiswa Universitas Tidar)",HUSNUL HOTIMAH,PRODI_S1_MANAJEMENFAKULTAS_FE
1,ABSTRAK Nilai Perusahaan merupakan salah satu faktor yang diperhatikan dalam suatu perusahaan dikarenakan memiliki keterkaitan terhadap kinerja keuangan yang menunjukkan prospek pertumbuhan baik dapat dilihat melalui besarnya nilai pasar pada aset perusahaan yang diukur melalui harga saham perusahaan yang dapat mencerminkan penilaian investor atas keseluruhan kinerja pada perusahaan.,SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
2,"Selain itu nilai perusahaan sering dikaitkan dengan harga saham yang menjadi presepsi investor terhadap perusahaan, jika harga saham tinggi maka dapat dikatakan nilai perusahaan juga akan tinggi.",SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
3,Hal ini karena harga saham perusahaan mencerminkan penilaian investor secara keseluruhan untuk setiap ekuitas yang dimilikinya.,SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
4,Penelitian ini bertujuan untuk memberikan bukti empiris pengaruh tidak langsung modal intelektual terhadap nilai perusahaan melalui profitabilitas sebagai variabel intervening.,SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
5,Populasi dalam penelitian ini adalah seluruh perusahaan energi terdaftar di IDX Industrial Classification Bursa Efek Indonesia periode tahun 2016-2021.,SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
6,Pengambilan sampel dilakukan dengan metode purposive sampling.,SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
7,"Jumlah sampel penelitian terdiri dari 39 perusahaan dengan periode penelitian selama enam tahun, sehingga total sampel adalah 207.",SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
8,Penelitian ini merupakan jenis penelitian kuantitatif dengan menggunakan data sekunder dalam bentuk data panel.,SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
9,Data diperoleh dengan melihat laporan keuangan tahun 2016-2021 perusahaan sektor energi yang masuk dalam sampel penelitian.,SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
10,Analisis data dilakukan menggunakan analisis regresi berganda dan uji boostrapping.,SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
11,Hasil penelitian ini menunjukkan bahwa modal intelektual kapital secara langsung memiliki pengaruh signifikan terhadap nilai perusahaan.,SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
12,Kemudian secara tidak langsung melalui variabel mediasi menunjukkan terdapat pengaruh negatif signifikan.,SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
13,"Kata Kunci: Modal Intelektual, Profitabilitas, Nilai Perusahaan",SKRIPSI PENGARUH INTELLECTUAL CAPITAL (IC) TERHADAP NILAI PERUSAHAAN DENGAN PROFITABILITAS SEKTOR ENERGI 2016-2021,NISRINA AFIFAWATI,PRODI_S1_MANAJEMENFAKULTAS_FE
1,ABSTRAK Keragaman varian produk yang dimiliki oleh Mustika Ratu sangat banyak.,"SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
2,Produk lama yang telah lama berdiri sejak tahun 1978 memiliki produk untuk kalangan pria maupun wanita.,"SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
3,Kualitasnya yang dimiliki oleh Mustika Ratu membuktikan bahwa produk yang ditawarkannya mampu bersaing di pasaran dan mampu bersaing dengan produk-produk baru yang baru saja muncul.,"SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
4,"Penelitian ini bertujuan untuk menganalisis pengaruh brand ambassador, brand image, kualitas produk, harga, dan saluran distribusi terhadap keputusan pembelian produk Mustika Ratu.","SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
5,Penelitian ini dilakukan dengan metode kuantitatif deskriptif dan menggunakan 200 responden sebagai sampel.,"SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
6,Penelitian menggunakan teknik purposive sampling dalam menentukan sampel penelitian.,"SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
7,Populasi dan sampel ini ialah para pengguna produk Mustika Ratu yang pernah menggunakannya.,"SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
8,Jenis data yang digunakan dalam penelitian ini ialah sata sekunder.,"SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
9,"Analisis Regresi Linier Berganda, Uji t, dan Uji F digunakan untuk menguji hipotesis penelitian.","SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
10,Pengujian dilakukan dengan bantuan software IBM SPSS Statistic 20.,"SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
11,Hasil menunjukkan bahwa brand ambassador dan brand image tidak berpengaruh terhadap keputusan pembelian produk Mustika Ratu.,"SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
12,"Sementara kualitas produk, harga, dan saluran distribusi berpengaruh terhadap keputusan pembelian produk Mustika Ratu.","SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
13,"Kata Kunci: Brand Ambassador, Brand Image, Kualitas Produk, Harga, Saluran Distribusi, Keputusan Pembelian, Mustika Ratu","SKRIPSI PENGARUH BRAND AMBASSADOR, BRAND IMAGE, KUALITAS PRODUK, HARGA, DAN SALURAN DISTRIBUSI TERHADAP KEPUTUSAN PEMBELIAN PRODUK MUSTIKA RATU",SONIA APRILIA SAPUTRI,PRODI_S1_MANAJEMENFAKULTAS_FE
1,"ABSTRAK Restiani, Shinta.",SKRIPSI EFEKTIVITAS MODEL PEMBELAJARAN SAVI BERBANTUAN APLIKASI ANIMAKER DALAM MENINGKATKAN KEAKTIFAN DAN KEMAMPUAN PEMECAHAN MASALAH,SHINTA RESTIANI,PRODI_S1_PENDIDIKAN_ILMU_PENGETAHUAN_ALAMFAKULTAS_FKIP
